GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g1066,359,0.0,0,168,54,140,24,0.32142857142857145,0.17142857142857143,0.11953242835595777,29.926986399642953,8.705756189569284,29.926986399642953,140.87894770623979
g1067,338,0.0,0,160,50,132,23,0.3125,0.17424242424242425,0.13064483592918463,28.96359069146535,2.11810232841296,28.96359069146535,138.27783676635025
g1068,169,0.0,0,90,17,71,13,0.18888888888888888,0.18309859154929578,0.22109835980111162,29.84020155720404,1.305637720076622,29.84020155720404,135.71124566906295
g1069,115,0.0,0,68,7,51,10,0.10294117647058823,0.19607843137254902,0.2501527183872938,36.13578988782917,6.461773459140764,36.13578988782917,133.1813289459089
g1070,115,0.0,0,68,7,51,10,0.10294117647058823,0.19607843137254902,0.2501527183872938,42.05791495811344,14.195260598537548,42.05791495811344,130.69038939242589
g1071,115,0.0,0,68,7,51,10,0.10294117647058823,0.19607843137254902,0.2501527183872938,36.71158356162808,8.84892920205219,36.71158356162808,128.24088653521088
g1072,115,0.0,0,68,7,51,10,0.10294117647058823,0.19607843137254902,0.2501527183872938,37.47431426502735,13.488874238554278,37.47431426502735,125.835444916735
g1073,135,0.0,0,78,9,57,8,0.11538461538461539,0.14035087719298245,0.22430174882409853,22.489565665506543,9.231794201487158,22.489565665506543,123.47686198630805
g1074,193,0.1050049001301955,20,109,13,75,3,0.11926605504587157,0.04,0.1493023644414738,16.0868254073198,5.310101086852673,16.0868254073198,121.16811533334247
g1075,193,1.0,193,109,13,75,3,0.11926605504587157,0.04,0.1493023644414738,15.88204768154029,4.852700225570808,15.88204768154029,118.91236893959939
g1076,193,1.0,193,109,13,75,3,0.11926605504587157,0.04,0.14914657653588678,8.658441685701797,3.139440029195965,8.658441685701797,116.71297806093463
g1077,217,1.0,217,121,18,87,4,0.1487603305785124,0.04597701149425287,0.13333997923420515,3.799259195126838,0.8082803703566197,3.799259195126838,114.5734922775189
g1078,226,1.0,226,126,20,91,5,0.15873015873015872,0.054945054945054944,0.12762212116766905,5.122342105292737,3.67001399547441,5.122342105292737,112.49765617695995
g1079,226,1.0,226,126,20,91,5,0.15873015873015872,0.054945054945054944,0.12762212116766905,7.285561964704149,3.793896128353806,7.285561964704149,110.48940706096204
g1080,212,1.0,212,119,18,85,4,0.15126050420168066,0.047058823529411764,0.12570097130839558,8.814169173549757,0.8548515845224788,8.814169173549757,108.55286899857558
g1081,160,0.9121456000551493,146,95,10,66,3,0.10526315789473684,0.045454545454545456,0.11868562463414435,13.20349980327828,1.6251647458786083,13.20349980327828,106.69234249514415
g1082,152,0.3667335608405798,56,87,9,61,3,0.10344827586206896,0.04918032786885246,0.13729049254617043,23.361192631320325,7.2655570880776565,23.361192631320325,104.91228901530646
g1083,127,0.0,0,58,9,45,1,0.15517241379310345,0.022222222222222223,0.21457999092834634,22.791854547883574,1.967906285274418,22.791854547883574,103.21730960246505
g1084,124,0.0,0,55,8,43,1,0.14545454545454545,0.023255813953488372,0.2240507345267721,26.882893921470306,2.407656357569232,26.882893921470306,101.6121168892276
g1085,124,0.0,0,55,8,43,1,0.14545454545454545,0.023255813953488372,0.2240507345267721,31.725076786037,3.29924675335442,31.725076786037,100.10149990738303
g1086,124,0.0,0,55,8,43,1,0.14545454545454545,0.023255813953488372,0.2240507345267721,34.2399514778233,5.5165310364592886,34.2399514778233,98.69028129505273
g1087,89,0.0,0,40,6,31,1,0.15,0.03225806451612903,0.35785581747973727,33.66439175443966,8.798536670887518,33.66439175443966,97.38326677271323
g1088,30,0.0,0,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,35.48726800008091,24.925969191553627,35.48726800008091,96.18518712283266
g1089,30,0.0,0,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,30.477026137455706,23.78061991486435,30.477026137455706,95.10063335477979
g1090,30,0.0,0,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,24.37178644024598,19.762691107754133,24.37178644024598,94.13398625020872
g1091,30,0.0,0,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,21.084282565126003,16.475187232634156,21.084282565126003,93.2893420328656
g1092,30,0.014969597594110873,0,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,19.624544318016397,12.72432134697559,19.624544318016397,92.57043644490025
g1093,30,0.7121180024303243,21,14,2,10,1,0.14285714285714285,0.1,0.5873479318734794,16.07417374451623,9.173950773475422,16.07417374451623,91.98056998164074
g1094,56,1.0,56,23,4,18,2,0.17391304347826086,0.1111111111111111,0.2468281854751475,11.662534109077644,3.3724329489506726,11.662534109077644,91.5225373746622
g1095,60,0.9195844913268012,55,25,4,19,2,0.16,0.10526315789473684,0.19123980573627783,12.072319991997027,4.000189848096373,12.072319991997027,91.19856455784154
g1096,60,0.2300983180051695,14,25,4,19,2,0.16,0.10526315789473684,0.19123980573627783,12.70698167752318,4.15487265612991,12.70698167752318,91.01025625542313
g1097,88,0.0,0,39,8,24,5,0.20512820512820512,0.20833333333333334,0.1956616966048941,17.31200377131152,11.106280189631226,17.31200377131152,90.9585569715998
g1098,281,0.0,0,148,52,82,38,0.35135135135135137,0.4634146341463415,0.2742453334930265,20.88942463412008,9.029093642197848,20.88942463412008,91.04372754662782
g1099,292,0.0,0,154,55,86,40,0.35714285714285715,0.46511627906976744,0.27956989247311825,18.96394090116149,4.76414059409448,18.96394090116149,91.26533861906914
g1100,292,0.0,0,154,55,86,40,0.35714285714285715,0.46511627906976744,0.27956989247311825,26.90295306443046,6.6930644256067175,26.90295306443046,91.62228137280727
g1101,293,0.34444199193062053,101,156,55,87,39,0.3525641025641026,0.4482758620689655,0.27778058116791454,22.473970813087533,5.778136103158472,22.473970813087533,92.11279494757005
g1102,317,0.9347359846924258,296,186,45,110,17,0.24193548387096775,0.15454545454545454,0.23391742425977627,20.992213600677253,1.7850945556049316,20.992213600677253,92.73450895556316
g1103,317,0.10452083847870365,33,186,45,111,16,0.24193548387096775,0.14414414414414414,0.23263232514177692,17.229344865705702,6.684191040851831,17.229344865705702,93.48449876710617
g1104,317,0.3889452244142655,123,186,45,111,16,0.24193548387096775,0.14414414414414414,0.23263232514177692,13.345341429271647,4.715107088887311,13.345341429271647,94.3593506733225
g1105,317,1.0,317,186,45,111,16,0.24193548387096775,0.14414414414414414,0.23263232249779997,11.736447182304863,3.2600270814498833,11.736447182304863,95.35523373947333
g1106,431,1.0,431,250,58,155,12,0.232,0.07741935483870968,0.2223228097124981,9.22364122080338,0.9103413972690475,9.22364122080338,96.46797512894935
g1107,435,1.0,435,252,59,156,12,0.23412698412698413,0.07692307692307693,0.22193396226415094,2.615477977829357,2.1329117511585687,2.615477977829357,97.69313587511111
g1108,450,1.0,450,289,65,175,19,0.22491349480968859,0.10857142857142857,0.2221766735802914,3.9559410497648186,1.4754030982647794,3.9559410497648186,99.02608445424946
g1109,461,1.0,461,315,70,188,24,0.2222222222222222,0.1276595744680851,0.22235134611659887,8.094571524696814,2.938855921878226,8.094571524696814,100.462066005296
g1110,656,0.46423682280822975,305,326,31,307,61,0.0950920245398773,0.1986970684039088,0.12784079819403044,12.39561946081045,1.173046317067266,12.39561946081045,101.99626558758995
g1111,1386,0.0,0,799,149,558,28,0.18648310387984982,0.05017921146953405,0.26436415865986496,19.128303727840873,6.532398049374543,19.128303727840873,121.72816655865748
g1112,106,0.0,0,58,11,45,5,0.1896551724137931,0.1111111111111111,0.26552065145861586,22.202629439070733,5.523346286445631,22.202629439070733,124.04939052152616
g1113,740,0.0,0,372,61,276,14,0.1639784946236559,0.050724637681159424,0.2650530508125027,27.78253569777214,13.255778314975728,27.78253569777214,126.41970530657491
g1114,793,0.0,0,393,62,288,11,0.15776081424936386,0.03819444444444445,0.26259561657793995,24.92433421464474,1.835850974917198,24.92433421464474,128.8361780161305
g1115,545,0.0,0,270,43,198,7,0.15925925925925927,0.03535353535353535,0.49176409767881946,22.5843650205822,2.6194062024127627,22.5843650205822,131.29605420022244
g1116,802,0.0,0,401,64,294,13,0.1596009975062344,0.04421768707482993,0.6569319942992041,25.519472089255427,3.967323826663681,25.519472089255427,133.79675043494086
g1117,218,0.2623114338616864,57,111,18,81,5,0.16216216216216217,0.06172839506172839,0.6870527283662674,24.6396840581528,0.1448550351949178,24.6396840581528,136.33584631286473
g1118,326,0.0,0,163,37,130,20,0.22699386503067484,0.15384615384615385,0.11953718779595547,35.18665227103123,8.863462293458781,35.18665227103123,141.51617179684183
g1119,359,0.0,0,168,54,140,24,0.32142857142857145,0.17142857142857143,0.11953242835595777,34.19580996191059,4.775242200008245,34.19580996191059,138.8418131649447
g1120,359,0.0,0,168,54,140,24,0.32142857142857145,0.17142857142857143,0.11953242835595777,33.5025126418407,6.657024278788311,33.5025126418407,136.1987829075539
g1121,350,0.0,0,164,52,137,24,0.3170731707317073,0.17518248175182483,0.12431662276298396,32.853826196619046,5.693546011359054,32.853826196619046,133.58908796286886
g1122,191,0.0,0,99,22,79,14,0.2222222222222222,0.17721518987341772,0.20829569141206944,34.06546363874634,0.0,34.06546363874634,131.01488168837477
g1123,115,0.0,0,68,7,51,10,0.10294117647058823,0.19607843137254902,0.2501527183872938,37.757283757841925,1.8326985743686637,37.757283757841925,128.47847370343155
g1124,115,0.0,0,68,7,51,10,0.10294117647058823,0.19607843137254902,0.250078053050604,30.843154209804084,7.768948878117237,30.843154209804084,125.98233990171936
g1125,138,0.0,0,80,9,58,8,0.1125,0.13793103448275862,0.2197623655370469,24.782837071808714,8.08058448055855,24.782837071808714,123.52913247761364
g1126,189,0.0,0,107,13,74,4,0.12149532710280374,0.05405405405405406,0.15362008250676779,20.814009218274727,6.9931768445175795,20.814009218274727,121.12168976107975
g1127,193,0.0212175201064143,4,109,13,75,3,0.11926605504587157,0.04,0.1493023644414738,17.344736071673072,4.668067025982479,17.344736071673072,118.7630455967206
