GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_gtfs_minutes
g4386,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,176.56527866518786
g4387,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,176.70151625491374
g4388,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,176.9214347358218
g4389,0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.48029987688642,11.134933088119258,100.48029987688642,177.22461870019404
g4390,1,0.0,0,0,0,0,0,0.0,0.0,0.0,100.48029987688642,11.134933088119258,100.48029987688642,177.6104999517513
g4391,2,0.0,0,0,0,0,0,0.0,0.0,0.0,100.48029987688642,11.134933088119258,100.48029987688642,178.07836275906678
g4392,3,0.0,0,1,0,0,0,0.0,0.0,0.0,100.48029987688642,11.134933088119258,100.48029987688642,178.62735035907016
g4393,3,0.0,0,1,0,0,0,0.0,0.0,0.0,96.30631770690216,4.939426818749412,96.30631770690216,179.256472575779
g4394,3,0.0,0,1,0,0,0,0.0,0.0,0.0,96.3247354868416,7.72822295543052,96.3247354868416,179.96461440111503
g4395,3,0.0,0,1,0,0,0,0.0,0.0,0.0,96.3247354868416,7.72822295543052,96.3247354868416,180.7505453717329
g4396,857,0.0,0,489,85,388,33,0.1738241308793456,0.08505154639175258,0.012958864838763615,89.14256029188387,1.3272190842317086,89.14256029188387,181.61292956836147
g4397,526,0.0,0,301,52,239,20,0.17275747508305647,0.08368200836820083,0.020829426705670128,89.14256029188387,1.3272190842317086,89.14256029188387,182.55033606211495
g4398,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,188.63436471063943
g4399,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,187.52309987859607
g4400,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,186.48132472213908
g4401,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,185.51057745919314
g4402,0,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,184.61233254104258
g4403,2,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,183.78799084939303
g4404,1,0.0,0,0,0,0,0,0.0,0.0,0.0,51.89865783267945,0.0,51.89865783267945,183.03886992549715
g4405,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,182.36619436931935
g4406,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,181.77108655462501
g4407,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,181.25455781039392
g4408,1,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,180.8175002195661
g4409,2,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,180.46067918245947
g4410,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,180.1847268840447
g4411,3,0.0,0,1,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,179.99013679162184
g4412,2,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,179.87725929252042
g4413,0,0.0,0,0,0,0,0,0.0,0.0,0.0,101.24574452565157,0.0,101.24574452565157,179.84629856067403
