GEOID,POPULATION,coverage_pct,pop_with_access,COMMUTERS_TOTAL,TRANSIT_COMMUTERS,HOUSEHOLDS_TOTAL,ZERO_VEH_HH,transit_commuter_share,zero_vehicle_share,MEDIAN_RENT_PER_ROOM,min_grocery_minutes,min_transit_minutes,min_access_minutes,min_grocery_minutes_fb_1,min_grocery_minutes_fb_2,min_grocery_minutes_fb_3,min_grocery_minutes_fb_4,min_grocery_minutes_fb_5,min_access_minutes_fb_1,min_access_minutes_fb_2,min_access_minutes_fb_3,min_access_minutes_fb_4,min_access_minutes_fb_5
g8274,82,0.0,0,50,4,30,1,0.08,0.03333333333333333,0.2179800447973936,25.022504109890182,2.1253461749377083,2.1253461749377083,25.022504109890182,25.022504109890182,25.022504109890182,25.022504109890182,25.022504109890182,2.1253461749377083,2.1253461749377083,2.1253461749377083,2.1253461749377083,2.1253461749377083
g8275,82,0.0,0,50,4,30,1,0.08,0.03333333333333333,0.2179800447973936,22.374535333491647,1.1671457097740543,1.1671457097740543,22.374535333491647,22.374535333491647,22.374535333491647,22.374535333491647,22.374535333491647,1.1671457097740543,1.1671457097740543,1.1671457097740543,1.1671457097740543,1.1671457097740543
g8276,82,0.0,0,50,4,30,1,0.08,0.03333333333333333,0.2179800447973936,17.2817944650775,1.1757054476781241,1.1757054476781241,17.2817944650775,17.2817944650775,17.2817944650775,17.2817944650775,17.2817944650775,1.1757054476781241,1.1757054476781241,1.1757054476781241,1.1757054476781241,1.1757054476781241
g8277,122,0.24788786057947543,30,57,11,47,7,0.19298245614035087,0.14893617021276595,0.1413663395513737,14.829259589017717,1.344459678056567,1.344459678056567,14.829259589017717,14.829259589017717,14.829259589017717,14.829259589017717,14.829259589017717,1.344459678056567,1.344459678056567,1.344459678056567,1.344459678056567,1.344459678056567
g8278,139,0.43795267172827845,61,60,14,55,9,0.23333333333333334,0.16363636363636364,0.1078380257212374,14.541079700286565,9.68723053784122,9.68723053784122,14.541079700286565,14.541079700286565,14.541079700286565,14.541079700286565,14.541079700286565,9.68723053784122,9.68723053784122,9.68723053784122,9.68723053784122,9.68723053784122
g8279,139,0.040423053578543075,6,60,14,55,9,0.23333333333333334,0.16363636363636364,0.1078380257212374,10.774263257736765,5.92041409529142,5.92041409529142,10.774263257736765,10.774263257736765,10.774263257736765,10.774263257736765,10.774263257736765,5.92041409529142,5.92041409529142,5.92041409529142,5.92041409529142,5.92041409529142
g8280,139,0.0,0,60,14,55,9,0.23333333333333334,0.16363636363636364,0.1078380257212374,9.554210186680635,4.83777030394758,4.83777030394758,9.554210186680635,9.554210186680635,9.554210186680635,9.554210186680635,9.554210186680635,4.83777030394758,4.83777030394758,4.83777030394758,4.83777030394758,4.83777030394758
g8281,139,0.0,0,60,14,55,9,0.23333333333333334,0.16363636363636364,0.1078380257212374,7.1450510935400455,7.022759329066156,7.022759329066156,7.1450510935400455,7.1450510935400455,7.1450510935400455,7.1450510935400455,7.1450510935400455,7.022759329066156,7.022759329066156,7.022759329066156,7.022759329066156,7.022759329066156
g8282,129,0.0,0,69,17,45,5,0.2463768115942029,0.1111111111111111,0.1500245433944452,18.56321001180464,14.911264769368795,14.911264769368795,18.56321001180464,18.56321001180464,18.56321001180464,18.56321001180464,18.56321001180464,14.911264769368795,14.911264769368795,14.911264769368795,14.911264769368795,14.911264769368795
g8283,156,0.0,0,83,15,52,2,0.18072289156626506,0.038461538461538464,0.2058379829280749,14.360998812102132,10.709053569666288,10.709053569666288,14.360998812102132,14.360998812102132,14.360998812102132,14.360998812102132,14.360998812102132,10.709053569666288,10.709053569666288,10.709053569666288,10.709053569666288,10.709053569666288
